date,home_team,away_team,home_score,away_score,competition,stadium,city,country
11/6/1993,Argentina,South Africa,26,29,1993 South Africa tour of Argentina,FC Oeste,Buenos Aires,Argentina
11/13/1993,Argentina,South Africa,23,52,1993 South Africa tour of Argentina,FC Oeste,Buenos Aires,Argentina
11/20/1993,Scotland,New Zealand,15,51,1993 New Zealand tour of Britain,Murrayfield,Edinburgh,Scotland
11/27/1993,England,New Zealand,15,9,1993 New Zealand rugby union tour of Britain,Twickenham,London,England
1/15/1994,France,Ireland,35,15,1994 Five Nations Championship,Parc des Princes,Paris,France
1/15/1994,Wales,Scotland,29,6,1994 Five Nations Championship,National Stadium,Cardiff,Wales
2/5/1994,Scotland,England,14,15,1994 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/5/1994,Ireland,Wales,15,17,1994 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/19/1994,England,Ireland,12,13,1994 Five Nations Championship,Twickenham,London,England
2/19/1994,Wales,France,24,15,1994 Five Nations Championship,National Stadium,Cardiff,Wales
3/5/1994,Ireland,Scotland,6,6,1994 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/5/1994,France,England,14,18,1994 Five Nations Championship,Parc des Princes,Paris,France
3/19/1994,Scotland,France,12,20,1994 Five Nations Championship,Murrayfield,Edinburgh,Scotland
3/19/1994,England,Wales,15,8,1994 Five Nations Championship,Twickenham,London,England
6/4/1994,Argentina,Scotland,16,15,1994 Scotland tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina
6/4/1994,South Africa,England,15,32,1994 England rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa
6/5/1994,Australia,Ireland,33,13,1994 Ireland tour of Australia,Ballymore Stadium,Brisbane,Australia
6/11/1994,South Africa,England,27,9,1994 England rugby union tour of South Africa,Newlands,Cape Town,South Africa
6/11/1994,Argentina,Scotland,19,17,1994 Scotland tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina
6/11/1994,Australia,Ireland,32,18,1994 Ireland tour of Australia,Sydney Cricket Ground,Sydney,Australia
6/18/1994,Australia,Italy,23,20,1994 Italy tour of Australia,Ballymore Stadium,Brisbane,Australia
6/25/1994,Australia,Italy,20,7,1994 Italy tour of Australia,Olympic Park Stadium,Melbourne,Australia
6/26/1994,New Zealand,France,8,22,1994 French tour,Lancaster Park,Christchurch,New Zealand
7/3/1994,New Zealand,France,20,23,1994 French tour,Eden Park,Auckland,New Zealand
7/9/1994,New Zealand,South Africa,22,14,1994 South Africa tour,Carisbrook,Dunedin,New Zealand
7/23/1994,New Zealand,South Africa,13,9,1994 South Africa tour,Athletic Park,Wellington,New Zealand
8/6/1994,New Zealand,South Africa,18,18,1994 South Africa tour,Eden Park,Auckland,New Zealand
8/17/1994,Australia,New Zealand,20,16,1994 New Zealand tour of Australia,Sydney Football Stadium,Sydney,Australia
10/8/1994,South Africa,Argentina,42,22,1994 Argentina tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa
10/12/1994,Wales,Italy,29,19,,National Stadium,Cardiff,Wales
10/15/1994,South Africa,Argentina,46,26,1994 Argentina tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa
11/19/1994,Scotland,South Africa,10,34,1994 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland
11/26/1994,Wales,South Africa,12,20,1994 South Africa tour of Great Britain and Ireland,National Stadium,Cardiff,Wales
1/21/1995,France,Wales,21,9,1995 Five Nations Championship,Parc des Princes,Paris,France
1/21/1995,Ireland,England,8,20,1995 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/4/1995,England,France,31,10,1995 Five Nations Championship,Twickenham,London,England
2/4/1995,Scotland,Ireland,26,13,1995 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/18/1995,Wales,England,9,23,1995 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
2/18/1995,France,Scotland,21,23,1995 Five Nations Championship,Parc des Princes,Paris,France
3/4/1995,Ireland,France,7,25,1995 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/4/1995,Scotland,Wales,26,13,1995 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/18/1995,England,Scotland,24,12,1995 Five Nations Championship,Twickenham Stadium,London,England
3/18/1995,Wales,Ireland,12,16,1995 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
4/30/1995,Australia,Argentina,53,7,1995 Argentina tour of Australia,Ballymore Stadium,Brisbane,Australia
5/6/1995,Italy,Ireland,22,12,,Stadio Comunale di Monigo,Treviso,Italy
5/6/1995,Australia,Argentina,30,13,1995 Argentina tour of Australia,Sydney Football Stadium,Sydney,Australia
5/25/1995,South Africa,Australia,18,27,1995 Rugby World Cup Pool match,Newlands Stadium,Cape Town,South Africa
5/27/1995,Ireland,New Zealand,19,43,1995 Rugby World Cup,Ellis Park,Johannesburg,South Africa
5/27/1995,England,Argentina,24,18,1995 Rugby World Cup Pool match,Kings Park Stadium,Durban,South Africa
5/31/1995,New Zealand,Wales,34,9,1995 Rugby World Cup Pool match,Ellis Park,Johannesburg,South Africa
5/31/1995,England,Italy,27,20,1995 Rugby World Cup Pool Stage,Kings Park Stadium,Durban,South Africa
6/3/1995,France,Scotland,22,19,1995 Rugby World Cup,Loftus Versfeld,Pretoria,South Africa
6/4/1995,Ireland,Wales,24,23,1995 Rugby World Cup,Ellis Park Stadium,Johannesburg,South Africa
6/4/1995,Argentina,Italy,25,31,1995 Rugby World Cup,Buffalo City Stadium,East London,South Africa
6/10/1995,France,Ireland,36,12,1995 Rugby World Cup,Kings Park Stadium,Durban,South Africa
6/11/1995,England,Australia,25,22,1995 Rugby World Cup Quarter-final,Newlands Stadium,Cape Town,South Africa
6/11/1995,New Zealand,Scotland,48,30,1995 Rugby World Cup Quarter Final,Loftus Versfeld,Pretoria,South Africa
6/17/1995,South Africa,France,19,15,1995 Rugby World Cup semi-final,Kings Park,Durban,South Africa
6/18/1995,New Zealand,England,45,29,1995 Rugby World Cup Semi-final,Newlands,Cape Town,South Africa
6/22/1995,England,France,9,19,1995 Rugby World Cup third-place play-off,Loftus Versfeld,Pretoria,South Africa
6/24/1995,South Africa,New Zealand,15,12,1995 Rugby World Cup Final,Ellis Park,Johannesburg,South Africa
7/22/1995,New Zealand,Australia,28,16,1995 Australia tour of New Zealand,Eden Park,Auckland,New Zealand
7/29/1995,Australia,New Zealand,23,34,1995 New Zealand tour of Australia,Sydney Football Stadium,Sydney,Australia
9/2/1995,South Africa,Wales,40,11,Wales tour of South Africa,Ellis Park,Johannesburg,South Africa
10/14/1995,France,Italy,34,22,1st Coupe Latine de Rugby,Ferrocaril Oeste,Buenos Aires,Argentina
10/17/1995,Argentina,Italy,26,6,,Monumental José Fierro,Tucumán,Argentina
10/21/1995,Argentina,France,12,47,1995 Latin Cup,Estadio Etcheverry,Buenos Aires,Argentina
10/28/1995,Italy,New Zealand,6,70,1995 New Zealand rugby union tour of Italy and France,Stadio Renato Dall'Ara,Bologna,Italy
11/11/1995,France,New Zealand,22,15,1995 New Zealand tour,Stadium Municipal,Toulouse,France
11/12/1995,Italy,South Africa,21,40,,Stadio Olimpico,Rome,Italy
11/18/1995,France,New Zealand,12,37,1995 New Zealand tour,Parc des Princes,Paris,France
11/18/1995,England,South Africa,14,24,,Twickenham,London,England
1/16/1996,Wales,Italy,31,26,,National Stadium,Cardiff,Wales
1/20/1996,France,England,15,12,1996 Five Nations Championship,Parc des Princes,Paris,France
1/20/1996,Ireland,Scotland,10,16,1996 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/3/1996,Scotland,France,19,14,1996 Five Nations Championship,Murrayfield,Edinburgh,Scotland
2/3/1996,England,Wales,21,15,1996 Five Nations Championship,Twickenham,London,England
2/17/1996,Wales,Scotland,14,16,1996 Five Nations Championship,National Stadium,Cardiff,Wales
2/17/1996,France,Ireland,45,10,1996 Five Nations Championship,Parc des Princes,Paris,France
3/2/1996,Scotland,England,9,18,1996 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/2/1996,Ireland,Wales,30,17,1996 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/16/1996,Wales,France,16,15,1996 Five Nations Championship,National Stadium,Cardiff,Wales
3/16/1996,England,Ireland,28,15,1996 Five Nations Championship,Twickenham,London,England
6/9/1996,Australia,Wales,56,25,1996 Wales tour of Australia,Ballymore Stadium,Brisbane,Australia
6/15/1996,New Zealand,Scotland,62,31,1996 Scotland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand
6/22/1996,Argentina,France,27,34,1996 France tour of Argentina,Estadio Etcheverry,Buenos Aires,Argentina
6/22/1996,Australia,Wales,42,3,1996 Wales tour of Australia,Sydney Football Stadium,Sydney,Australia
6/22/1996,New Zealand,Scotland,36,12,1996 Scotland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand
6/29/1996,Argentina,France,15,34,1996 France tour of Argentina,Estadio Etcheverry,Buenos Aires,Argentina
7/6/1996,New Zealand,Australia,43,6,1996 Tri Nations Series,Athletic Park,Wellington,New Zealand
7/13/1996,Australia,South Africa,21,16,1996 Tri Nations Series,Sydney Football Stadium,Sydney,Australia
7/20/1996,New Zealand,South Africa,15,11,1996 Tri Nations Series,Lancaster Park,Christchurch,New Zealand
7/27/1996,Australia,New Zealand,25,32,1996 Tri Nations Series,Lang Park,Brisbane,Australia
8/3/1996,South Africa,Australia,25,19,1996 Tri Nations Series,Free State Stadium,Bloemfontein,South Africa
8/10/1996,South Africa,New Zealand,18,29,1996 Tri Nations Series,Newlands,Cape Town,South Africa
8/17/1996,South Africa,New Zealand,19,23,1996 New Zealand tour,Kings Park Stadium,Durban,South Africa
8/24/1996,South Africa,New Zealand,26,33,1996 New Zealand tour,Loftus Versfeld Stadium,Pretoria,South Africa
8/31/1996,South Africa,New Zealand,32,22,1996 New Zealand tour,Ellis Park,Johannesburg,South Africa
9/25/1996,Wales,France,33,40,1996 France tour of Argentina and Wales,National Stadium,Cardiff,Wales
10/5/1996,Italy,Wales,22,31,,Stadio Olimpico,Rome,Italy
10/23/1996,Italy,Australia,18,40,"1996 Australia tour of Great Britain, Ireland and Italy",Stadio Plebiscito,Padua,Italy
11/9/1996,Scotland,Australia,19,29,"1996 Australia tour of Great Britain, Ireland and Italy",Murrayfield Stadium,Edinburgh,Scotland
11/9/1996,Argentina,South Africa,15,46,1996 South Africa tour of Argentina and Europe,FC Oeste,Buenos Aires,Argentina
11/16/1996,Argentina,South Africa,21,44,1996 South Africa tour of Argentina and Europe,FC Oeste,Buenos Aires,Argentina
11/23/1996,Ireland,Australia,12,22,"1996 Australia tour of Great Britain, Ireland and Italy",Lansdowne Road,Dublin,Ireland
11/23/1996,England,Italy,54,21,The Save & Prosper International,Twickenham,London,England
11/30/1996,France,South Africa,12,22,1996 South Africa rugby union tour of Argentina and Europe,Parc Lescure,Bordeaux,France
12/1/1996,Wales,Australia,19,28,"1996 Australia tour of Great Britain, Ireland and Italy",National Stadium,Cardiff,Wales
12/7/1996,France,South Africa,12,13,1996 South Africa rugby union tour of Argentina and Europe,Parc des Princes,Paris,France
12/14/1996,England,Argentina,20,18,1996 Argentina tour of England,Twickenham,London,England
12/14/1996,Scotland,Italy,29,22,,Murrayfield,Edinburgh,Scotland
12/15/1996,Wales,South Africa,20,37,1996 South Africa tour of Argentina and Europe,National Stadium,Cardiff,Wales
1/4/1997,Ireland,Italy,29,37,,Lansdowne Road,Dublin,Ireland
1/18/1997,Scotland,Wales,19,34,1997 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
1/18/1997,Ireland,France,15,32,1997 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/1/1997,England,Scotland,41,13,1997 Five Nations Championship,Twickenham Stadium,London,England
2/1/1997,Wales,Ireland,25,26,1997 Five Nations Championship,National Stadium,Cardiff,Wales
2/15/1997,France,Wales,27,22,1997 Five Nations Championship,Parc des Princes,Paris,France
2/15/1997,Ireland,England,6,46,1997 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/1/1997,Scotland,Ireland,38,10,1997 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/1/1997,England,France,20,23,1997 Five Nations Championship,Twickenham,London,England
3/15/1997,France,Scotland,47,20,1997 Five Nations Championship,Parc des Princes,Paris,France
3/15/1997,Wales,England,13,34,1997 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
3/22/1997,France,Italy,32,40,1995-97 European Cup final,Stade Lesdiguières,Grenoble,France
5/31/1997,Argentina,England,20,46,1997 England tour of Argentina and Australia,Ferrocarril Stadium,Buenos Aires,Argentina
6/7/1997,Argentina,England,33,13,1997 England tour of Argentina and Australia,Ferrocarril Stadium,Buenos Aires,Argentina
6/21/1997,New Zealand,Argentina,93,8,1997 Argentina tour of New Zealand,Athletic Park,Wellington,New Zealand
6/21/1997,Australia,France,29,15,1997 France tour of Romania and Australia,Sydney Football Stadium,Sydney,Australia
6/28/1997,Australia,France,26,19,1997 France tour of Romania and Australia,Ballymore Stadium,Brisbane,Australia
6/28/1997,New Zealand,Argentina,62,10,1997 Argentina tour of New Zealand,Rugby Park,Hamilton,New Zealand
7/5/1997,New Zealand,Australia,30,13,1997 Bledisloe Cup I,Lancaster Park,Christchurch,New Zealand
7/12/1997,Australia,England,25,6,1997 England tour of Argentina and Australia,Sydney Football Stadium,Sydney,Australia
7/19/1997,South Africa,New Zealand,32,35,1997 Tri Nations Series,Ellis Park,Johannesburg,South Africa
7/26/1997,Australia,New Zealand,18,33,1997 Tri Nations Series,Melbourne Cricket Ground,Melbourne,Australia
8/2/1997,Australia,South Africa,32,20,1997 Tri Nations Series,Lang Park,Brisbane,Australia
8/9/1997,New Zealand,South Africa,55,35,1997 Tri Nations Series,Eden Park,Auckland,New Zealand
8/16/1997,New Zealand,Australia,36,24,1997 Tri Nations Series,Carisbrook,Dunedin,New Zealand
8/23/1997,South Africa,Australia,61,22,1997 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa
10/18/1997,France,Italy,30,19,2nd Coupe Latine de Rugby,Stade du Moulias,Auch,France
10/22/1997,Argentina,Italy,18,18,,Stade Antoine-Béguère,Lourdes,France
10/26/1997,France,Argentina,32,27,1997 Latin Cup,Stade Maurice Trélut,Tarbes,France
11/1/1997,Argentina,Australia,15,23,1997 Australia tour of Argentina and Great Britain,Estadio Ricardo Etcheverry,Buenos Aires,Argentina
11/8/1997,Argentina,Australia,18,16,1997 Australia tour of Argentina and Great Britain,Estadio Ricardo Etcheverry,Buenos Aires,Argentina
11/8/1997,Italy,South Africa,31,62,1997 South Africa rugby union tour of Europe,Stadio Renato Dall'Ara,Bologna,Italy
11/15/1997,France,South Africa,32,36,1997 South Africa rugby union tour of Europe,Stade de Gerland,Lyon,France
11/15/1997,England,Australia,15,15,1997 Autumn International,Twickenham Stadium,London,England
11/15/1997,Ireland,New Zealand,15,63,1997 New Zealand rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland
11/22/1997,France,South Africa,10,52,1997 South Africa rugby union tour of Europe,Parc des Princes,Paris,France
11/22/1997,England,New Zealand,8,25,1997 New Zealand rugby union tour of Britain and Ireland,Old Trafford,Manchester,England
11/22/1997,Scotland,Australia,8,37,1997 Australia tour of Argentina and Great Britain,Murrayfield Stadium,Edinburgh,Scotland
11/29/1997,Wales,New Zealand,7,42,1997 New Zealand tour of Great Britain and Ireland,Wembley Stadium,London,England
11/29/1997,England,South Africa,11,29,1997 South Africa rugby union tour of Europe,Twickenham,London,England
12/6/1997,Scotland,South Africa,10,68,1997 South Africa rugby union tour of Europe,Murrayfield,Edinburgh,Scotland
12/6/1997,England,New Zealand,26,26,1997 New Zealand rugby union tour of Britain and Ireland,Twickenham,London,England
12/20/1997,Italy,Ireland,37,22,,Stadio Renato Dall'Ara,Bologna,Italy
1/24/1998,Italy,Scotland,25,21,,Stadio Comunale Monigo,Treviso,Italy
2/7/1998,Ireland,Scotland,16,17,1998 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/7/1998,France,England,24,17,1998 Five Nations Championship,Stade de France,Saint-Denis,France
2/7/1998,Wales,Italy,23,20,,Stradey Park,Llanelli,Wales
2/21/1998,Scotland,France,16,51,1998 Five Nations Championship,Murrayfield,Edinburgh,Scotland
2/21/1998,England,Wales,60,26,1998 Five Nations Championship,Twickenham,London,England
3/7/1998,France,Ireland,18,16,1998 Five Nations Championship,Stade de France,Saint-Denis,France
3/7/1998,Wales,Scotland,19,13,1998 Five Nations Championship,Wembley Stadium,London,England
3/21/1998,Ireland,Wales,21,30,1998 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/22/1998,Scotland,England,20,34,1998 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
4/4/1998,England,Ireland,35,17,1998 Five Nations Championship,Twickenham,London,England
4/5/1998,Wales,France,0,51,1998 Five Nations Championship,Wembley Stadium,London,England
6/6/1998,Australia,England,76,0,"1998 England tour of Australia, New Zealand and South Africa",Lang Park,Brisbane,Australia
6/13/1998,Argentina,France,18,35,1998 France tour of Argentina and Fiji,José Amalfitani Stadium,Buenos Aires,Argentina
6/13/1998,Australia,Scotland,45,3,1998 Scotland tour of Australia and Fiji,Sydney Football Stadium,Sydney,Australia
6/13/1998,South Africa,Ireland,37,13,1998 Ireland rugby union tour of South Africa,Vodacom Park,Bloemfontein,South Africa
6/20/1998,New Zealand,England,64,22,1998 England rugby union tour of Australasia and South Africa,Carisbrook,Dunedin,New Zealand
6/20/1998,Argentina,France,12,37,1998 France tour of Argentina and Fiji,José Amalfitani Stadium,Buenos Aires,Argentina
6/20/1998,Australia,Scotland,33,11,1998 Scotland tour of Australia and Fiji,Lang Park,Brisbane,Australia
6/20/1998,South Africa,Ireland,33,0,1998 Ireland rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa
6/27/1998,South Africa,Wales,96,13,1998 Wales tour of Zimbabwe and South Africa,Loftus Versfeld,Pretoria,South Africa
6/27/1998,New Zealand,England,40,10,1998 England rugby union tour of Australasia and South Africa,Eden Park,Auckland,New Zealand
7/4/1998,South Africa,England,18,0,1998 England rugby union tour of Australasia and South Africa,Newlands,Cape Town,South Africa
7/11/1998,Australia,New Zealand,24,16,1998 Tri Nations Series,Melbourne Cricket Ground,Melbourne,Australia
7/18/1998,Australia,South Africa,13,14,1998 Tri Nations Series,Subiaco Oval,Perth,Australia
7/25/1998,New Zealand,South Africa,3,13,1998 Tri Nations Series,Athletic Park,Wellington,New Zealand
8/1/1998,New Zealand,Australia,23,27,1998 Tri Nations Series,Lancaster Park,Christchurch,New Zealand
8/15/1998,South Africa,New Zealand,24,23,1998 Tri Nations Series,Kings Park Stadium,Durban,South Africa
8/22/1998,South Africa,Australia,29,15,1998 Tri Nations Series,Ellis Park Stadium,Johannesburg,South Africa
8/29/1998,Australia,New Zealand,19,14,1998 Bledisloe Cup III,Sydney Football Stadium,Sydney,Australia
11/7/1998,Italy,Argentina,23,19,1998 Argentina rugby union tour of Japan and Europe,Stadio Comunale Beltrametti,Piacenza,Italy
11/14/1998,Wales,South Africa,20,28,1998 South Africa tour of Great Britain and Ireland,Wembley Stadium,London,England
11/14/1998,France,Argentina,34,14,1998 Argentina tour of Japan and Europe,Stade de la Beaujoire,Nantes,France
11/21/1998,Scotland,South Africa,10,35,1998 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland
11/21/1998,France,Australia,21,32,1998 Australia tour of France and England,Stade de France,Saint-Denis,France
11/21/1998,Wales,Argentina,43,30,1998 Autumn International,Stradey Park,Llanelli,Wales
11/22/1998,England,Italy,23,15,1999 Rugby World Cup European qualification,Galpharm Stadium,Huddersfield,England
11/28/1998,Ireland,South Africa,13,27,1998 South Africa rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland
11/28/1998,England,Australia,11,12,1998 Autumn International,Twickenham Stadium,London,England
12/5/1998,England,South Africa,13,7,1998 South Africa rugby union tour of Britain and Ireland,Twickenham,London,England
2/6/1999,Scotland,Wales,33,20,1999 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/6/1999,Ireland,France,9,10,1999 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/20/1999,Wales,Ireland,23,29,1999 Five Nations Championship,Wembley Stadium,London,England
2/20/1999,England,Scotland,24,21,1999 Five Nations Championship,Twickenham Stadium,London,England
3/6/1999,France,Wales,33,34,1999 Five Nations Championship,Stade de France,Paris,France
3/6/1999,Ireland,England,15,27,1999 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/6/1999,Scotland,Italy,30,12,,Murrayfield,Edinburgh,Scotland
3/20/1999,England,France,21,10,1999 Five Nations Championship,Twickenham,London,England
3/20/1999,Italy,Wales,21,60,,Stadio Comunale di Monigo,Treviso,Italy
3/20/1999,Scotland,Ireland,30,13,1999 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
4/10/1999,Ireland,Italy,39,30,,Lansdowne Road,Dublin,Ireland
4/10/1999,France,Scotland,22,36,1999 Five Nations Championship,Stade de France,Saint-Denis,France
4/11/1999,England,Wales,32,31,1999 Five Nations Championship,Wembley Stadium,London,England
6/5/1999,Argentina,Wales,26,36,1999 Wales tour of Argentina,Ferrocaril Oeste,Buenos Aires,Argentina
6/12/1999,Argentina,Wales,16,23,1999 Wales tour of Argentina,Ferrocaril Oeste,Buenos Aires,Argentina
6/12/1999,South Africa,Italy,74,3,1999 Italy rugby union tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa
6/12/1999,Australia,Ireland,46,10,1999 Ireland tour of Australia,Ballymore Stadium,Brisbane,Australia
6/19/1999,South Africa,Italy,101,0,1999 Italy rugby union tour of South Africa,Kings Park Stadium,Durban,South Africa
6/19/1999,Australia,Ireland,32,26,1999 Ireland tour of Australia,Subiaco Oval,Perth,Australia
6/26/1999,Australia,England,22,15,1999 England tour of Australia,Stadium Australia,Sydney,Australia
6/26/1999,Wales,South Africa,29,19,,Millennium Stadium,Cardiff,Wales
6/26/1999,New Zealand,France,54,7,1999 French tour,Athletic Park,Wellington,New Zealand
7/10/1999,New Zealand,South Africa,28,0,1999 Tri Nations Series,Carisbrook,Dunedin,New Zealand
7/17/1999,Australia,South Africa,32,6,1999 Tri Nations Series,Lang Park,Brisbane,Australia
7/24/1999,New Zealand,Australia,34,15,1999 Tri Nations Series,Eden Park,Auckland,New Zealand
8/7/1999,South Africa,New Zealand,18,34,1999 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa
8/14/1999,South Africa,Australia,10,9,1999 Tri Nations Series,Newlands Stadium,Cape Town,South Africa
8/21/1999,Scotland,Argentina,22,31,1999 Rugby World Cup warm-up match,Murrayfield Stadium,Edinburgh,Scotland
8/28/1999,Wales,France,34,23,1999 Rugby World Cup warm-up match,Millennium Stadium,Cardiff,Wales
8/28/1999,Australia,New Zealand,28,7,1999 Tri Nations Series,Stadium Australia,Sydney,Australia
8/28/1999,Ireland,Argentina,32,24,1999 Rugby World Cup warm-up,Lansdowne Road,Dublin,Ireland
10/1/1999,Wales,Argentina,23,18,1999 Rugby World Cup Pool match,Millennium Stadium,Cardiff,Wales
10/2/1999,England,Italy,67,7,1999 Rugby World Cup Pool Stage,Twickenham,London,England
10/3/1999,Scotland,South Africa,29,46,1999 Rugby World Cup,Murrayfield,Edinburgh,Scotland
10/9/1999,England,New Zealand,16,30,1999 Rugby World Cup Pool Stage,Twickenham,London,England
10/10/1999,Ireland,Australia,3,23,1999 Rugby World Cup Pool match,Lansdowne Road,Dublin,Ireland
10/14/1999,New Zealand,Italy,101,3,1999 Rugby World Cup,McAlpine Stadium,Huddersfield,England
10/20/1999,Argentina,Ireland,28,24,1999 Rugby World Cup,Stade Félix Bollaert,Lens,France
10/23/1999,Wales,Australia,9,24,1999 Rugby World Cup Quarter-finals,Millennium Stadium,Cardiff,Wales
10/24/1999,England,South Africa,21,44,1999 Rugby World Cup Quarter-final,Stade de France,Paris,France
10/24/1999,Scotland,New Zealand,18,30,1999 Rugby World Cup Quarter Final,Murrayfield,Edinburgh,Scotland
10/24/1999,Argentina,France,26,47,1999 Rugby World Cup,Lansdowne Road,Dublin,Ireland
10/30/1999,Australia,South Africa,27,21,1999 Rugby World Cup Semi-final,Twickenham,London,England
10/31/1999,New Zealand,France,31,43,1999 Rugby World Cup,Twickenham,London,England
11/4/1999,South Africa,New Zealand,22,18,1999 Rugby World Cup,Millennium Stadium,Cardiff,Wales
11/6/1999,Australia,France,35,12,1999 Rugby World Cup Final,Millennium Stadium,Cardiff,Wales
2/5/2000,England,Ireland,50,18,2000 Six Nations Championship,Twickenham,London,England
2/5/2000,Wales,France,3,36,2000 Six Nations Championship,Millennium Stadium,Cardiff,Wales
2/5/2000,Italy,Scotland,34,20,2000 Six Nations Championship,Stadio Flaminio,Rome,Italy
2/19/2000,Ireland,Scotland,44,22,2000 Six Nations Championship,Lansdowne Road,Dublin,Ireland
2/19/2000,France,England,9,15,2000 Six Nations Championship,Stade de France,Saint-Denis,France
2/19/2000,Wales,Italy,47,16,2000 Six Nations,Millennium Stadium,Cardiff,Wales
3/4/2000,Scotland,France,16,28,2000 Six Nations Championship,Murrayfield,Edinburgh,Scotland
3/4/2000,Ireland,Italy,60,13,2000 Six Nations Championship,Lansdowne Road,Dublin,Ireland
3/4/2000,England,Wales,46,12,2000 Six Nations Championship,Twickenham,London,England
3/18/2000,Wales,Scotland,26,18,2000 Six Nations Championship,Millennium Stadium,Cardiff,Wales
3/18/2000,Italy,England,12,59,2000 Six Nations Championship,Stadio Flaminio,Rome,Italy
3/19/2000,France,Ireland,25,27,2000 Six Nations Championship,Stade de France,Saint-Denis,France
4/1/2000,France,Italy,42,31,2000 Six Nations Championship,Stade de France,Saint-Denis,France
4/1/2000,Ireland,Wales,19,23,2000 Six Nations Championship,Lansdowne Road,Dublin,Ireland
4/2/2000,Scotland,England,19,13,2000 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
6/3/2000,Argentina,Ireland,34,23,2000 Ireland rugby union tour of The Americas,Estadio Ricardo Etcheverry,Buenos Aires,Argentina
6/17/2000,South Africa,England,18,13,2000 England rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa
6/17/2000,Australia,Argentina,53,6,2000 Argentina tour of Australia and England,Ballymore Stadium,Brisbane,Australia
6/24/2000,New Zealand,Scotland,69,20,2000 Scotland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand
6/24/2000,South Africa,England,22,27,2000 England rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa
6/24/2000,Australia,Argentina,32,25,2000 Argentina tour of Australia and England,Canberra Stadium,Canberra,Australia
7/1/2000,New Zealand,Scotland,48,14,2000 Scotland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand
7/8/2000,Australia,South Africa,44,23,2000 Summer International,Docklands Stadium,Melbourne,Australia
7/15/2000,Australia,New Zealand,35,39,2000 Tri Nations Series,Stadium Australia,Sydney,Australia
7/22/2000,New Zealand,South Africa,25,12,2000 Tri Nations Series,Lancaster Park,Christchurch,New Zealand
7/29/2000,Australia,South Africa,26,6,2000 Tri Nations Series,Stadium Australia,Sydney,Australia
8/5/2000,New Zealand,Australia,23,24,2000 Tri Nations Series,Wellington Regional Stadium,Wellington,New Zealand
8/19/2000,South Africa,New Zealand,46,40,2000 Tri Nations Series,Ellis Park,Johannesburg,South Africa
8/26/2000,South Africa,Australia,18,19,2000 Tri Nations Series,Kings Park Stadium,Durban,South Africa
11/4/2000,France,Australia,13,18,2000 Australia tour of Great Britain and France,Stade de France,Saint-Denis,France
11/11/2000,Scotland,Australia,9,30,2000 Autumn International,Murrayfield Stadium,Edinburgh,Scotland
